INFO distributed.py(607): Reducer buckets have been rebuilt in this iteration.
INFO logger.py(47): iter: 100/150000, lr: 0.006280, eta: 6:56:37, time: 16.84, loss: 7.2978, loss_pre: 1.6284, loss_aux0: 1.4083, loss_aux1: 1.4052, loss_aux2: 1.4230, loss_aux3: 1.4329
INFO logger.py(47): iter: 200/150000, lr: 0.007906, eta: 7:09:02, time: 17.70, loss: 6.1780, loss_pre: 1.1531, loss_aux0: 1.2000, loss_aux1: 1.2398, loss_aux2: 1.2797, loss_aux3: 1.3053
INFO logger.py(47): iter: 300/150000, lr: 0.009953, eta: 7:07:30, time: 17.04, loss: 5.5034, loss_pre: 1.1212, loss_aux0: 1.0546, loss_aux1: 1.0832, loss_aux2: 1.1134, loss_aux3: 1.1310
INFO logger.py(47): iter: 400/150000, lr: 0.012531, eta: 7:02:52, time: 16.43, loss: 5.1881, loss_pre: 1.0829, loss_aux0: 1.0079, loss_aux1: 1.0228, loss_aux2: 1.0370, loss_aux3: 1.0376
INFO logger.py(47): iter: 500/150000, lr: 0.015775, eta: 7:03:29, time: 17.14, loss: 5.1192, loss_pre: 1.0976, loss_aux0: 0.9969, loss_aux1: 1.0079, loss_aux2: 1.0121, loss_aux3: 1.0048
INFO logger.py(47): iter: 600/150000, lr: 0.019860, eta: 6:58:52, time: 15.95, loss: 5.2387, loss_pre: 1.0966, loss_aux0: 1.0063, loss_aux1: 1.0401, loss_aux2: 1.0498, loss_aux3: 1.0459
INFO logger.py(47): iter: 700/150000, lr: 0.025002, eta: 6:40:34, time: 11.75, loss: 5.0658, loss_pre: 1.0480, loss_aux0: 0.9808, loss_aux1: 1.0166, loss_aux2: 1.0135, loss_aux3: 1.0069
INFO logger.py(47): iter: 800/150000, lr: 0.031475, eta: 6:19:33, time: 9.41, loss: 5.0700, loss_pre: 1.0485, loss_aux0: 0.9838, loss_aux1: 1.0117, loss_aux2: 1.0225, loss_aux3: 1.0036
INFO logger.py(47): iter: 900/150000, lr: 0.039625, eta: 6:02:51, time: 9.30, loss: 4.8792, loss_pre: 1.0202, loss_aux0: 0.9508, loss_aux1: 0.9822, loss_aux2: 0.9790, loss_aux3: 0.9470
INFO logger.py(47): iter: 1000/150000, lr: 0.049885, eta: 5:48:58, time: 9.10, loss: 4.8671, loss_pre: 1.0194, loss_aux0: 0.9725, loss_aux1: 0.9715, loss_aux2: 0.9613, loss_aux3: 0.9424
INFO logger.py(47): iter: 1100/150000, lr: 0.049970, eta: 5:37:58, time: 9.28, loss: 4.7856, loss_pre: 0.9869, loss_aux0: 0.9581, loss_aux1: 0.9559, loss_aux2: 0.9594, loss_aux3: 0.9253
INFO logger.py(47): iter: 1200/150000, lr: 0.049940, eta: 5:28:29, time: 9.14, loss: 4.6717, loss_pre: 0.9544, loss_aux0: 0.9414, loss_aux1: 0.9507, loss_aux2: 0.9246, loss_aux3: 0.9006
INFO logger.py(47): iter: 1300/150000, lr: 0.049910, eta: 5:20:11, time: 9.01, loss: 4.6652, loss_pre: 0.9820, loss_aux0: 0.9407, loss_aux1: 0.9279, loss_aux2: 0.9205, loss_aux3: 0.8941
INFO logger.py(47): iter: 1400/150000, lr: 0.049879, eta: 5:13:47, time: 9.42, loss: 4.5891, loss_pre: 0.9454, loss_aux0: 0.9204, loss_aux1: 0.9228, loss_aux2: 0.9077, loss_aux3: 0.8928
INFO logger.py(47): iter: 1500/150000, lr: 0.049849, eta: 5:08:09, time: 9.38, loss: 4.5640, loss_pre: 0.9272, loss_aux0: 0.9273, loss_aux1: 0.9212, loss_aux2: 0.9067, loss_aux3: 0.8815
INFO logger.py(47): iter: 1600/150000, lr: 0.049819, eta: 5:02:46, time: 9.10, loss: 4.6760, loss_pre: 0.9590, loss_aux0: 0.9419, loss_aux1: 0.9399, loss_aux2: 0.9304, loss_aux3: 0.9049
INFO logger.py(47): iter: 1700/150000, lr: 0.049789, eta: 4:58:02, time: 9.12, loss: 4.4785, loss_pre: 0.9013, loss_aux0: 0.9170, loss_aux1: 0.9017, loss_aux2: 0.8962, loss_aux3: 0.8623
